ID,State,County,obesity_percent,poverty_percent,,
442,Georgia,Fannin County,25.9,23.1,,
443,Georgia,Fayette County,31.1,8.5,,
444,Georgia,Floyd County,31,21.3,,
445,Georgia,Forsyth County,29.4,6.9,,
446,Georgia,Franklin County,29.5,23.9,,
447,Georgia,Fulton County,23.9,17.6,,
448,Georgia,Gilmer County,29.7,23.5,,
449,Georgia,Glascock County,28.6,16.2,,
450,Georgia,Glynn County,26.2,18.7,,
451,Georgia,Gordon County,29.3,20.4,,
452,Georgia,Grady County,33,30.7,,
453,Georgia,Greene County,29.7,24.9,,
454,Georgia,Gwinnett County,29.5,13.8,,
455,Georgia,Habersham County,31.7,17.8,,
456,Georgia,Hall County,25.7,18.4,,
457,Georgia,Hancock County,31.2,30.3,,
458,Georgia,Haralson County,27.3,20.3,,
459,Georgia,Harris County,28.4,9.3,,
460,Georgia,Hart County,29.9,21.9,,
461,Georgia,Heard County,30.2,20.5,,
462,Georgia,Henry County,33.1,12.9,,
463,Georgia,Houston County,31,17.2,,
464,Georgia,Irwin County,29.2,26,,
465,Georgia,Jackson County,27.4,13.7,,
466,Georgia,Jasper County,29.3,20.7,,
467,Georgia,Jeff Davis County,30,22.3,,
468,Georgia,Jefferson County,35.3,30.8,,
469,Georgia,Jenkins County,29.9,33.8,,
470,Georgia,Johnson County,34,23.1,,
471,Georgia,Jones County,33.5,16.8,,
472,Georgia,Lamar County,30.6,22.1,,
473,Georgia,Lanier County,33.2,26.6,,
474,Georgia,Laurens County,36.2,27.5,,
475,Georgia,Lee County,31.2,12.3,,
476,Georgia,Liberty County,34.9,17.7,,
477,Georgia,Lincoln County,29,25,,
478,Georgia,Long County,31.4,17.9,,
479,Georgia,Lowndes County,31.3,26.5,,
480,Georgia,Lumpkin County,30.7,18.8,,
481,Georgia,McDuffie County,33.4,25.4,,
482,Georgia,McIntosh County,30.9,21.3,,
483,Georgia,Macon County,36.4,29.6,,
484,Georgia,Madison County,31.9,17.1,,
485,Georgia,Marion County,32.9,21.3,,
486,Georgia,Meriwether County,34.6,22.7,,
487,Georgia,Miller County,30.3,27.9,,
488,Georgia,Mitchell County,33.6,28.7,,
489,Georgia,Monroe County,31.9,13.6,,
490,Georgia,Montgomery County,36.2,25.3,,
491,Georgia,Morgan County,26.5,14.3,,
492,Georgia,Murray County,32.5,20,,
493,Georgia,Muscogee County,28.8,20.5,,
494,Georgia,Newton County,32.9,17.1,,
495,Georgia,Oconee County,28.8,7.3,,
496,Georgia,Oglethorpe County,30.1,15.9,,
497,Georgia,Paulding County,28.6,12.6,,
498,Georgia,Peach County,34.4,21.9,,
499,Georgia,Pickens County,26.7,11.6,,
500,Georgia,Pierce County,28.5,23.7,,
501,Georgia,Pike County,26.2,12.2,,
502,Georgia,Polk County,34.5,21.5,,
503,Georgia,Pulaski County,31.7,19.2,,
504,Georgia,Putnam County,30,16.4,,
505,Georgia,Quitman County,34,24,,
506,Georgia,Rabun County,29.4,21.6,,
507,Georgia,Randolph County,33.7,30.2,,
508,Georgia,Richmond County,34.1,25.2,,
509,Georgia,Rockdale County,36,16.5,,
510,Georgia,Schley County,30.4,23.4,,
511,Georgia,Screven County,33,25.2,,
512,Georgia,Seminole County,30.7,18.4,,
513,Georgia,Spalding County,32.4,22.7,,
514,Georgia,Stephens County,30.1,18.9,,
515,Georgia,Stewart County,34.2,38.4,,
516,Georgia,Sumter County,32.7,33.2,,
517,Georgia,Talbot County,33.3,20,,
518,Georgia,Taliaferro County,31.4,30,,
519,Georgia,Tattnall County,33.1,29.2,,
520,Georgia,Taylor County,28.8,28.7,,
521,Georgia,Telfair County,30.9,28.5,,
522,Georgia,Terrell County,31.6,36.2,,
523,Georgia,Thomas County,34,23.6,,
524,Georgia,Tift County,34,29.2,,
525,Georgia,Toombs County,31.5,24.8,,
526,Georgia,Towns County,27.4,18.6,,
527,Georgia,Treutlen County,32.9,19.6,,
528,Georgia,Troup County,30,21.4,,
529,Georgia,Turner County,34.6,25.4,,
530,Georgia,Twiggs County,32.8,27.7,,
531,Georgia,Union County,27.2,13.5,,
532,Georgia,Upson County,32,23.7,,
533,Georgia,Walker County,32.1,17.8,,
534,Georgia,Walton County,34.4,13.9,,
535,Georgia,Ware County,35.5,29.2,,
536,Georgia,Warren County,32,27.1,,
537,Georgia,Washington County,32.2,25.9,,
538,Georgia,Wayne County,31.8,20.3,,
539,Georgia,Webster County,32.1,22.5,,
540,Georgia,Wheeler County,31.9,27.2,,
541,Georgia,White County,28.6,19,,
542,Georgia,Whitfield County,33.5,18.8,,
543,Georgia,Wilcox County,31.5,23.1,,
544,Georgia,Wilkes County,32.9,28.5,,
545,Georgia,Wilkinson County,34.5,17.7,,
546,Georgia,Worth County,36.7,21.2,,22.19811321
547,Hawaii,Hawaii County,22.7,19.5,,
548,Hawaii,Honolulu County,22.3,9.7,,
549,Hawaii,Kalawao County,21.5,15.2,,
550,Hawaii,Kauai County,20.6,10.7,,
551,Hawaii,Maui County,22.4,11,,13.22
552,Idaho,Ada County,25.4,12.3,,
553,Idaho,Adams County,27.6,12.9,,
554,Idaho,Bannock County,28.1,18.8,,
555,Idaho,Bear Lake County,28.7,12.9,,
556,Idaho,Benewah County,30.1,16.6,,
557,Idaho,Bingham County,33.3,13.5,,
558,Idaho,Blaine County,19.2,10.4,,
559,Idaho,Boise County,22.4,14.5,,
560,Idaho,Bonner County,24.7,15.3,,
561,Idaho,Bonneville County,29.4,13.2,,
562,Idaho,Boundary County,27.3,15.3,,
563,Idaho,Butte County,28.5,17.6,,
564,Idaho,Camas County,25.7,21.8,,
565,Idaho,Canyon County,33.4,19.4,,
566,Idaho,Caribou County,27.5,8.3,,
567,Idaho,Cassia County,30.5,16,,
568,Idaho,Clark County,31.4,18.1,,
569,Idaho,Clearwater County,30.6,13.1,,
570,Idaho,Custer County,26.3,19.2,,
571,Idaho,Elmore County,29.8,16.1,,
572,Idaho,Franklin County,30.7,13.2,,
573,Idaho,Fremont County,28.9,10.3,,
574,Idaho,Gem County,28.5,18,,
575,Idaho,Gooding County,30,19.4,,
576,Idaho,Idaho County,25.7,16,,
577,Idaho,Jefferson County,32.7,13.1,,
578,Idaho,Jerome County,33.3,16.4,,
579,Idaho,Kootenai County,25,13,,
580,Idaho,Latah County,24.3,21.6,,
581,Idaho,Lemhi County,26.8,18.7,,
582,Idaho,Lewis County,29.7,17.4,,
583,Idaho,Lincoln County,32.3,13.6,,
584,Idaho,Madison County,24.5,35.7,,
585,Idaho,Minidoka County,34.2,17.4,,
586,Idaho,Nez Perce County,30.9,11.9,,
587,Idaho,Oneida County,31.3,14.6,,
588,Idaho,Owyhee County,30.4,27.6,,
589,Idaho,Payette County,33.3,18.7,,
590,Idaho,Power County,32.1,13.5,,
591,Idaho,Shoshone County,31.1,17.2,,
592,Idaho,Teton County,24.1,10.8,,
593,Idaho,Twin Falls County,27.6,15.8,,
594,Idaho,Valley County,24.1,15,,
595,Idaho,Washington County,30.3,18.3,,16.19318182
596,Illinois,Adams County,37,14.4,,
597,Illinois,Alexander County,28.4,34.2,,
598,Illinois,Bond County,29.6,16.5,,
599,Illinois,Boone County,33.7,10.9,,
600,Illinois,Brown County,27.6,10.9,,
601,Illinois,Bureau County,29.1,12.5,,
602,Illinois,Calhoun County,29.1,12.6,,
603,Illinois,Carroll County,28.6,12.6,,
604,Illinois,Cass County,28,12.9,,
605,Illinois,Champaign County,25.1,22.8,,
606,Illinois,Christian County,31.7,14.6,,
607,Illinois,Clark County,32.7,14.9,,
608,Illinois,Clay County,31,13.8,,
609,Illinois,Clinton County,29.5,8.9,,
