State,County,percent
Illinois,McHenry County,27.7
Illinois,McLean County,29.3
Illinois,Macon County,29.7
Illinois,Macoupin County,31
Illinois,Madison County,32.3
Illinois,Marion County,33.5
Illinois,Marshall County,29.1
Illinois,Mason County,31.7
Illinois,Massac County,30.7
Illinois,Menard County,28.3
Illinois,Mercer County,31.2
Illinois,Monroe County,33.2
Illinois,Montgomery County,31.3
Illinois,Morgan County,28.8
Illinois,Moultrie County,28.6
Illinois,Ogle County,31.2
Illinois,Peoria County,28.8
Illinois,Perry County,29.1
Illinois,Piatt County,29
Illinois,Pike County,32.6
Illinois,Pope County,29.5
Illinois,Pulaski County,27.3
Illinois,Putnam County,29.9
Illinois,Randolph County,27.7
Illinois,Richland County,28.8
Illinois,Rock Island County,31.7
Illinois,St. Clair County,33.2
Illinois,Saline County,30.1
Illinois,Sangamon County,28.5
Illinois,Schuyler County,31.7
Illinois,Scott County,30.4
Illinois,Shelby County,30.6
Illinois,Stark County,30.2
Illinois,Stephenson County,32.9
Illinois,Tazewell County,30.6
Illinois,Union County,28.2
Illinois,Vermilion County,35.4
Illinois,Wabash County,32.2
Illinois,Warren County,30.5
Illinois,Washington County,28.6
Illinois,Wayne County,29.2
Illinois,White County,28.7
Illinois,Whiteside County,28.7
Illinois,Will County,28
Illinois,Williamson County,31.6
Illinois,Winnebago County,33.9
Illinois,Woodford County,30.8
Indiana,Adams County,32.8
Indiana,Allen County,30.1
Indiana,Bartholomew County,29.5
Indiana,Benton County,32.6
Indiana,Blackford County,36
Indiana,Boone County,27.8
Indiana,Brown County,30.6
Indiana,Carroll County,26.9
Indiana,Cass County,33.7
Indiana,Clark County,33.3
Indiana,Clay County,33.1
Indiana,Clinton County,30.9
Indiana,Crawford County,33
Indiana,Daviess County,37.6
Indiana,Dearborn County,32.5
Indiana,Decatur County,32.7
Indiana,DeKalb County,32.8
Indiana,Delaware County,31.5
Indiana,Dubois County,29.5
Indiana,Elkhart County,32.8
Indiana,Fayette County,33
Indiana,Floyd County,30.1
Indiana,Fountain County,29.8
Indiana,Franklin County,26.2
Indiana,Fulton County,37.8
Indiana,Gibson County,32.1
Indiana,Grant County,37.3
Indiana,Greene County,33.1
Indiana,Hamilton County,25.9
Indiana,Hancock County,34.8
Indiana,Harrison County,36
Indiana,Hendricks County,31.8
Indiana,Henry County,36.7
Indiana,Howard County,31.4
Indiana,Huntington County,32.6
Indiana,Jackson County,36.9
Indiana,Jasper County,29.6
Indiana,Jay County,34
Indiana,Jefferson County,35
Indiana,Jennings County,33
Indiana,Johnson County,30.2
Indiana,Knox County,32.3
Indiana,Kosciusko County,33.2
Indiana,LaGrange County,34.2
Indiana,Lake County,33.9
Indiana,LaPorte County,35
Indiana,Lawrence County,38.2
Indiana,Madison County,33.4
Indiana,Marion County,32.4
Indiana,Marshall County,30.8
Indiana,Martin County,35.8
Indiana,Miami County,35.7
Indiana,Monroe County,22.1
Indiana,Montgomery County,32.7
Indiana,Morgan County,33.2
Indiana,Newton County,35.3
Indiana,Noble County,31.8
Indiana,Ohio County,30.4
Indiana,Orange County,35.4
Indiana,Owen County,34
Indiana,Parke County,33.6
Indiana,Perry County,32.8
Indiana,Pike County,36.4
Indiana,Porter County,31.9
Indiana,Posey County,29.1
Indiana,Pulaski County,31.5
Indiana,Putnam County,31.5
Indiana,Randolph County,35.6
Indiana,Ripley County,32.7
Indiana,Rush County,32.6
Indiana,St. Joseph County,30
Indiana,Scott County,29.5
Indiana,Shelby County,33.1
Indiana,Spencer County,30.5
Indiana,Starke County,36.1
Indiana,Steuben County,33.7
Indiana,Sullivan County,32.9
Indiana,Switzerland County,32
Indiana,Tippecanoe County,26.4
Indiana,Tipton County,31.1
Indiana,Union County,30
Indiana,Vanderburgh County,33.3
Indiana,Vermillion County,33.1
Indiana,Vigo County,32.8
Indiana,Wabash County,31.6
Indiana,Warren County,32.1
Indiana,Warrick County,29.4
Indiana,Washington County,30.6
Indiana,Wayne County,29.6
Indiana,Wells County,28.4
Indiana,White County,34.7
Indiana,Whitley County,32
Iowa,Adair County,32.4
Iowa,Adams County,30.8
Iowa,Allamakee County,33.6
Iowa,Appanoose County,35.4
Iowa,Audubon County,31.2
Iowa,Benton County,34.4
Iowa,Black Hawk County,29.9
Iowa,Boone County,32.4
Iowa,Bremer County,32.4
Iowa,Buchanan County,35.2
Iowa,Buena Vista County,33
Iowa,Butler County,33.8
Iowa,Calhoun County,32.4
Iowa,Carroll County,30.7
Iowa,Cass County,35.2
Iowa,Cedar County,32.4
Iowa,Cerro Gordo County,33.2
Iowa,Cherokee County,37.5
Iowa,Chickasaw County,32.7
Iowa,Clarke County,30.5
Iowa,Clay County,33.8
Iowa,Clayton County,32.1
Iowa,Clinton County,33.4
Iowa,Crawford County,34.2
Iowa,Dallas County,29.8
Iowa,Davis County,32.7
Iowa,Decatur County,33.1
Iowa,Delaware County,33.9
Iowa,Des Moines County,31.3
Iowa,Dickinson County,33.4
Iowa,Dubuque County,28.5
Iowa,Emmet County,33.2
Iowa,Fayette County,37.7
Iowa,Floyd County,31
Iowa,Franklin County,32.6
Iowa,Fremont County,32.9
Iowa,Greene County,29.6
Iowa,Grundy County,31.7
Iowa,Guthrie County,35.9
Iowa,Hamilton County,30.6
Iowa,Hancock County,35.4
Iowa,Hardin County,34.8
Iowa,Harrison County,32.3
Iowa,Henry County,34.6
Iowa,Howard County,31.1
Iowa,Humboldt County,31.8
Iowa,Ida County,28.2
Iowa,Iowa County,30.7
Iowa,Jackson County,33.1
Iowa,Jasper County,32.2
Iowa,Jefferson County,27.5
Iowa,Johnson County,23
Iowa,Jones County,37.6
Iowa,Keokuk County,29.9
Iowa,Kossuth County,32.7
Iowa,Lee County,31.9
Iowa,Linn County,31
Iowa,Louisa County,37.4
Iowa,Lucas County,33.8
Iowa,Lyon County,31.9
Iowa,Madison County,34.2
Iowa,Mahaska County,31.9
Iowa,Marion County,33.1
Iowa,Marshall County,34.7
Iowa,Mills County,34.7
Iowa,Mitchell County,30.3
Iowa,Monona County,32.8
Iowa,Monroe County,32.4
Iowa,Montgomery County,37.6
Iowa,Muscatine County,34.2
Iowa,O'Brien County,31.6
Iowa,Osceola County,34.4
Iowa,Page County,35.3
Iowa,Palo Alto County,35.7
Iowa,Plymouth County,32.2
Iowa,Pocahontas County,31.9
Iowa,Polk County,29.2
Iowa,Pottawattamie County,36
Iowa,Poweshiek County,32.1
Iowa,Ringgold County,34.9
Iowa,Sac County,33
Iowa,Scott County,31.8
Iowa,Shelby County,29.4
Iowa,Sioux County,29
Iowa,Story County,27.1
Iowa,Tama County,31.3
Iowa,Taylor County,30.9
Iowa,Union County,37.8
Iowa,Van Buren County,35.7
Iowa,Wapello County,35.6
Iowa,Warren County,31.1
Iowa,Washington County,31.5
Iowa,Wayne County,33.3
Iowa,Webster County,31.1
Iowa,Winnebago County,28.6
Iowa,Winneshiek County,25.4
Iowa,Woodbury County,34.3
Iowa,Worth County,33.7
Iowa,Wright County,34.4
Kansas,Allen County,34.2
Kansas,Anderson County,33.3
Kansas,Atchison County,33.1
Kansas,Barber County,36.7
Kansas,Barton County,35.4
Kansas,Bourbon County,33.9
Kansas,Brown County,29.6
Kansas,Butler County,31.9
Kansas,Chase County,28.3
Kansas,Chautauqua County,34.1
Kansas,Cherokee County,37
Kansas,Cheyenne County,33.5
Kansas,Clark County,31.2
Kansas,Clay County,36.2
Kansas,Cloud County,29.9
Kansas,Coffey County,30.5
Kansas,Comanche County,33.6
Kansas,Cowley County,36
Kansas,Crawford County,33
Kansas,Decatur County,36.1
Kansas,Dickinson County,31.9
Kansas,Doniphan County,32.1
Kansas,Douglas County,24.2
Kansas,Edwards County,32.9
Kansas,Elk County,32.5
Kansas,Ellis County,31.6
Kansas,Ellsworth County,33.3
Kansas,Finney County,35.2
Kansas,Ford County,30.6
Kansas,Franklin County,33.8
Kansas,Geary County,32.7
Kansas,Gove County,30.2
Kansas,Graham County,28.9
Kansas,Grant County,35.6
Kansas,Gray County,36
Kansas,Greeley County,32.6
Kansas,Greenwood County,32.7
Kansas,Hamilton County,37.1
Kansas,Harper County,34.2
Kansas,Harvey County,31
Kansas,Haskell County,33.9
Kansas,Hodgeman County,32
Kansas,Jackson County,33.4
Kansas,Jefferson County,29.9
Kansas,Jewell County,29.6
Kansas,Johnson County,24.8
